task,model,metric_group,accuracy,precision,recall,f1_score,roc_auc,mae,rmse,r2,adjusted_r2
Classification,Logistic Regression,Classification Metrics,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199,,,,
Classification,Decision Tree,Classification Metrics,0.7640449438202247,0.76,0.5588235294117647,0.6440677966101694,0.8373663101604277,,,,
Classification,Random Forest,Classification Metrics,0.8089887640449438,0.765625,0.7205882352941176,0.7424242424242424,0.8195855614973262,,,,
Regression,Linear Regression,Regression Metrics,,,,,,21.098604259640418,41.70210467903215,0.3481625721605431,0.3091303908527911
